time,q3,dq3,ddq3,q3_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM,,
1.11863,0.014293985,0.001535198,0.000106888,5.639781469,4.966024838,0.1498665,4.999211073,0.3223915,0,0.246516304,0.000106749,0.074967366,,
1.1327,0.014315232,0.001532007,-0.004239387,6.00143711,4.965400407,0.2990129,4.998050576,0.3370683,0,0.304487622,0.017874868,0.525943361,,
1.1482,0.014337311,0.001523852,-0.007994465,6.276783582,4.963804204,0.4469613,4.995076393,0.3506701,0,0.373628355,0.052698286,1.249155457,,
1.16313,0.014360526,0.001511088,-0.010143664,6.459537331,4.961306104,0.5932735,4.990399431,0.3632224,0,0.453713781,0.103571527,2.286343249,,
1.17922,0.014384436,0.001499455,-0.009679361,6.631909056,4.959029251,0.7380704,4.986112733,0.375884,0,0.54409894,0.169179819,3.649915072,,
1.19478,0.014408277,0.001494061,-0.006817921,6.892379419,4.957973525,0.8819634,4.984117255,0.3897392,0,0.644259348,0.248164729,3.742852414,,
1.20996,0.014431522,0.001494954,-0.003460243,7.263531828,4.958148378,1.0255621,4.984448098,0.4048602,0,0.754287065,0.339426078,5.192517093,,
1.22538,0.014454227,0.001499631,-0.001903783,7.66452368,4.959063652,1.1692297,4.986177672,0.4207841,0,0.874935673,0.442174934,5.251916581,,
1.24081,0.014477044,0.001510153,-0.002746952,7.972229383,4.961123151,1.3135228,4.990055828,0.4379818,0,1.007192776,0.55569051,6.661979771,,
1.2564,0.014500952,0.001534795,-0.004332964,8.10963874,4.965946,1.4597804,4.999064648,0.4582487,0,1.151761334,0.679017182,7.805190078,,
1.27111,0.014526737,0.001577863,-0.004667213,8.085873492,4.974375218,1.6097362,5.014571084,0.4826302,0,1.308865751,0.810875862,8.484379615,,
1.2863,0.014554461,0.001628417,-0.003534987,7.974548858,4.98426963,1.7640676,5.032400072,0.5090132,0,1.479648842,0.949850553,8.693639919,,
