time,q2,dq2,ddq2,q2_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM,,,
1.11731,-0.009233091,-0.006178958,0.015114359,-3.817987865,-7.419630483,-6.18E-02,-6.123138502,-1.297581,0,-0.16381529,0.002150572,0.041307893,,,
1.1307,-0.009339601,-0.005717528,0.020684704,-3.777945266,-7.151041161,-1.19E-01,-6.038611331,-1.2624066,0,-0.149815063,-0.022064069,0.163054737,,,
1.14528,-0.009452382,-0.005205586,0.022727222,-4.536745804,-6.853049922,-1.71E-01,-5.938545126,-1.212016,0,-0.160970898,-0.067498846,-0.226721068,,,
1.19251,-0.009566548,-0.004696694,0.019189603,-6.23350976,-6.556834148,-2.18E-01,-5.831507482,-1.157154,0,-0.192399601,-0.136389354,-0.812964883,,,
1.2078,-0.009668473,-0.004328386,0.010731949,-8.275398212,-6.342449575,-2.61E-01,-5.748592805,-1.1267301,0,-0.245820148,-0.236275475,-0.837294739,,,
1.2238,-0.009749226,-0.004194465,0.000831179,-9.840013605,-6.264497196,-3.03E-01,-5.717173659,-1.1418412,0,-0.324529051,-0.37540751,-1.885533407,,,
1.23896,-0.009813524,-0.004250607,-0.006185167,-10.44404655,-6.297176217,-3.46E-01,-5.730432066,-1.1955179,0,-0.428947094,-0.556930079,-1.876346497,,,
1.25439,-0.009875445,-0.00434613,-0.007934207,-10.13662502,-6.352778494,-3.89E-01,-5.752702967,-1.2580198,0,-0.555147969,-0.775916043,-3.799186882,,,
1.27063,-0.009946385,-0.004339387,-0.005083002,-9.299941547,-6.34885328,-4.33E-01,-5.751142451,-1.3000007,0,-0.696340833,-1.02089746,-6.245120463,,,
1.30076,-0.010026734,-0.004185221,-1.98E-06,-8.331104238,-6.259116181,-4.74E-01,-5.714978246,-1.3109611,0,-0.845440408,-1.278307214,-8.414725828,,,
1.31613,-0.010107367,-0.003931163,0.005284094,-7.454410796,-6.111234391,-5.14E-01,-5.653232237,-1.2994106,0,-0.996885687,-1.536575923,-8.419697287,,,
1.33199,-0.010177915,-0.003651512,0.009943647,-6.722115044,-5.948455413,-5.50E-01,-5.5818841,-1.2799516,0,-1.148288116,-1.787822066,-9.189799757,,,
1.34699,-0.010234004,-0.003391633,0.013801259,-6.110001855,-5.797185022,-5.84E-01,-5.512037802,-1.2618521,0,-1.297665685,-2.027444894,-8.76729387,,,
