time,q1,dq1,ddq1,q1_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM,,
1.13663,-0.003245721,-0.000241347,2.14E-05,-3.69373804,-2.691473051,-7.54E-03,-3.659215126,-0.0506828,0,-0.011169784,2.83E-05,-0.045628814,,
1.15023,-0.003248153,-0.00024106,7.52E-05,-3.759667878,-2.691130945,-0.015056,-3.658628715,-0.0530359,0,0.013650212,-0.012614142,-0.266318401,,
1.16562,-0.003251121,-0.000248899,0.000135709,-3.798398512,-2.700471405,-0.0228132,-3.674496941,-0.0570925,0,0.01052277,-0.036806325,-0.275658482,,
1.18163,-0.003254832,-0.000268494,0.000116352,-3.797513715,-2.723821457,-0.0311731,-3.712940365,-0.0636963,0,-0.012902728,-0.071421164,-0.702715423,,
1.19684,-0.003259122,-0.000298568,-0.000161632,-3.750018388,-2.759657282,-0.0404597,-3.768886674,-0.0726965,0,-0.051133606,-0.115259363,-1.167004147,,
1.21223,-0.00326373,-0.000334619,-0.000770047,-3.64021882,-2.802615794,-0.0508556,-3.831757813,-0.0832526,0,-0.100060428,-0.167034845,-1.687983787,,
1.22716,-0.003268565,-0.000369523,-0.001444339,-3.455604045,-2.844207676,-0.0623211,-3.888918644,-0.0939282,0,-0.156416514,-0.225334181,-2.182204792,,
1.24188,-0.003273669,-0.000393884,-0.001704016,-3.218343531,-2.87323595,-0.0745249,-3.926930842,-0.1027387,0,-0.217440508,-0.2885941,-2.619381534,,
1.25766,-0.003278948,-0.000399167,-0.001318544,-2.995486842,-2.879530649,-0.0868736,-3.934986765,-0.1077863,0,-0.280817767,-0.355202594,-2.928906538,,
1.27297,-0.003284035,-0.000383203,-0.000644278,-2.865177497,-2.860508784,-0.0987101,-3.910442823,-0.1084253,0,-0.344863779,-0.423744293,-3.097897765,,
1.28822,-0.003288496,-0.000353225,-0.000423272,-2.864285782,-2.824787106,-0.1096046,-3.86264646,-0.1059616,0,-0.408722215,-0.493257678,-3.144408705,,
1.30395,-0.00329216,-0.000322302,-0.001131351,-2.963056105,-2.787939187,-0.1195317,-3.810748057,-0.1029998,0,-0.472822416,-0.563322438,-3.12263877,,
1.31923,-0.003295255,-0.00030139,-0.002450961,-3.086001057,-2.763020006,-0.1288032,-3.773964038,-0.1018309,0,-0.537612159,-0.633907654,-3.086200701,,
1.33506,-0.00329825,-0.000293902,-0.00341419,-3.158946535,-2.754097782,-0.1378339,-3.760430351,-0.1032721,0,-0.603522536,-0.70507727,-3.068407267,,
1.35066,-0.00330158,-0.000296519,-0.003116378,-3.147715331,-2.757216042,-0.1469346,-3.765183008,-0.1067602,0,-0.67062619,-0.776728511,-3.074104664,,
1.36573,-0.003305464,-0.000303228,-0.001374607,-3.068025933,-2.765209645,-0.1562307,-3.777255193,-0.1111336,0,-0.738559313,-0.848492093,-3.088625787,,
1.38095,-0.003309862,-0.000308248,0.001133413,-2.967461747,-2.77119222,-0.1656696,-3.786188105,-0.1152197,0,-0.80669753,-0.919812048,-3.092354365,,
1.39663,-0.003314507,-0.000307591,0.003251591,-2.89263088,-2.770408675,-0.1750773,-3.785023037,-0.1181635,0,-0.874445055,-0.990126372,-3.074012268,,
1.41196,-0.003319032,-0.000301107,0.003975831,-2.859013507,-2.762682787,-0.1842757,-3.773456133,-0.1198774,0,-0.94145448,-1.05902704,-3.035831862,,
1.42703,-0.00332318,-0.000294004,0.002990655,-2.841816408,-2.754218337,-0.1932468,-3.760614552,-0.1213963,0,-1.007644258,-1.126298124,-2.988837355,,
1.44315,-0.003326972,-0.0002942,0.000843508,-2.796584855,-2.754452277,-0.2022137,-3.760971895,-0.1243771,0,-1.073010537,-1.191811283,-2.942430017,,
1.45871,-0.003330664,-0.000305501,-0.001346861,-2.695684714,-2.767918384,-0.2115146,-3.781310433,-0.1296915,0,-1.137379403,-1.255361738,-2.896605621,,
1.47456,-0.003334505,-0.000322858,-0.002547601,-2.551101044,-2.788600692,-0.2213324,-3.811705105,-0.1363906,0,-1.200297583,-1.316576226,-2.84262184,,
1.48983,-0.003338534,-0.000335698,-0.002464731,-2.40528628,-2.803901899,-0.2315281,-3.833576971,-0.1423149,0,-1.261151162,-1.37496742,-2.771041589,,
1.50561,-0.003342617,-0.000336906,-0.001675059,-2.299565901,-2.805340707,-0.2417473,-3.835608027,-0.1459247,0,-1.319419825,-1.43009255,-2.680385291,,
1.52067,-0.003346647,-0.000328329,-0.001041205,-2.246813291,-2.795120899,-0.2516935,-3.821086891,-0.1474921,0,-1.374875225,-1.481697204,-2.579475724,,
1.53577,-0.003350681,-0.00031723,-0.000889649,-2.228886134,-2.781894942,-0.2612914,-3.801958056,-0.148444,0,-1.427590504,-1.529747319,-2.583453819,,
1.5515,-0.003354841,-0.000308158,-0.000774527,-2.217321494,-2.771084312,-0.2706035,-3.786027741,-0.1497105,0,-1.477783627,-1.574346834,-2.477076689,,
1.56656,-0.003359108,-0.000299679,-0.000100259,-2.196862116,-2.760981481,-0.2796488,-3.77088942,-0.1510111,0,-1.525637494,-1.615623222,-2.3946725,,
1.58288,-0.003363264,-0.000288996,0.001110557,-2.172670843,-2.748251291,-0.2883616,-3.75145229,-0.1517639,0,-1.571229052,-1.653669182,-2.396595362,,
1.59853,-0.003367053,-0.000277687,0.002193011,-2.161026335,-2.734775737,-0.2967243,-3.730413743,-0.1522785,0,-1.614586301,-1.688563846,-2.319133381,,
1.6142,-0.003370425,-0.000271056,0.002501933,-2.176473867,-2.726874189,-0.3048786,-3.717844393,-0.1536623,0,-1.655797496,-1.72043409,-2.32528455,,
1.62963,-0.003373597,-0.000272262,0.00193962,-2.222710818,-2.728311407,-0.3130607,-3.720143859,-0.1566255,0,-1.695090889,-1.749504857,-2.26279615,,
1.64484,-0.003376896,-0.000278889,0.000905518,-2.286292971,-2.736207336,-0.3214333,-3.732672273,-0.1607388,0,-1.732837484,-1.776104349,-2.262812831,,
1.66093,-0.003380535,-0.000285991,-5.27E-05,-2.336973487,-2.744671121,-0.3300101,-3.745910395,-0.1650184,0,-1.769450643,-1.800603659,-2.248637197,,
1.67665,-0.0033845,-0.000291398,-0.000524931,-2.342107759,-2.751114024,-0.3387394,-3.755859445,-0.1690129,0,-1.805198471,-1.823298177,-2.250976887,,
1.69262,-0.00338865,-0.000296645,-0.000383342,-2.289066927,-2.757365529,-0.3476161,-3.765410228,-0.1730276,0,-1.840028655,-1.844290864,-2.257495606,,
1.70724,-0.003392876,-0.000303075,0.000216336,-2.194575009,-2.76502797,-0.356675,-3.776982571,-0.1773435,0,-1.87327368,-1.863462167,-2.258735464,,
1.72291,-0.003397164,-0.000308928,0.000993576,-2.088418079,-2.772002638,-0.3658982,-3.787391596,-0.1816024,0,-1.904364997,-1.88055418,-2.254203026,,
1.7386,-0.003401528,-0.000311175,0.001770673,-1.986554317,-2.77468033,-0.3751777,-3.791357001,-0.1851626,0,-1.932777902,-1.895297162,-2.229773746,,
