time,q3,dq3,ddq3,q3_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM,,
1.11241,0.001926025,0.001038581,-0.011468789,7.417378912,4.533136729,0.0953275,4.793588757,0.2180934,0,0.189892107,-0.000795776,0.037541169,,
1.12588,0.00193865,0.000963205,-0.007972656,7.168422058,4.482102751,0.1832586,4.736759726,0.2126485,0,0.253718434,0.02688063,0.520020784,,
1.14118,0.001952177,0.000887398,-0.004472321,7.029280653,4.430777375,0.2638643,4.67658928,0.2063598,0,0.329840055,0.078353682,1.33516541,,
1.15671,0.001966426,0.000825921,-0.000840248,7.023306275,4.389154785,0.3385411,4.625295549,0.2023227,0,0.416163962,0.150446822,2.487256987,,
1.17166,0.001980348,0.000801609,0.003013425,7.080484917,4.372694326,0.4107105,4.604331911,0.2054748,0,0.511643778,0.240648939,3.937382142,,
1.18672,0.001993231,0.000822791,0.006672097,7.110094024,4.387035658,0.4844807,4.622619109,0.2179368,0,0.615714892,0.346801865,5.42677496,,
1.20172,0.002005535,0.000876247,0.009029713,7.05053221,4.423227981,0.562711,4.667460245,0.2373871,0,0.72778861,0.466744734,5.441740806,,
1.21685,0.002018597,0.000939429,0.008614982,6.861925738,4.466005488,0.6462049,4.718231472,0.2594139,0,0.847008339,0.598107474,5.445345113,,
1.23236,0.002033526,0.000991008,0.004453802,6.528445144,4.500926868,0.7338589,4.7580507,0.2796354,0,0.972148096,0.738226319,6.569068982,,
1.2478,0.002050185,0.001011039,-0.002781165,6.107918587,4.51448943,0.8228319,4.773148678,0.2937481,0,1.101617028,0.884174863,7.134767246,,
1.26327,0.002067083,0.000983557,-0.010281121,5.756285037,4.495882648,0.9089403,4.752384278,0.2980842,0,1.233783243,1.033057187,7.119625888,,
1.27845,0.002082327,0.00090916,-0.014232582,5.65016,4.445511733,0.9881373,4.694194576,0.2922947,0,1.36868699,1.182610985,6.7139832,,
1.29464,0.002094912,0.000814987,-0.012184196,5.849283241,4.381751878,1.0588034,4.615917113,0.2816095,0,1.506920044,1.331817142,6.216056542,,
1.30988,0.002105336,0.000745599,-0.004906625,6.225338008,4.334772622,1.1231863,4.554436089,0.275187,0,1.650579888,1.481024912,5.875057981,,
1.32529,0.002115149,0.000736038,0.003858742,6.536668688,4.328298796,1.1865041,4.545681632,0.2806324,0,1.802581282,1.631362314,5.797587068,,
1.34118,0.002125885,0.000788554,0.009823219,6.595162223,4.363855016,1.2540878,4.592905731,0.2990163,0,1.965529925,1.783734852,5.947229096,,
1.35612,0.002138249,0.000874542,0.010923193,6.378126509,4.422073822,1.3287437,4.666057969,0.3249527,0,2.14097196,1.93805118,5.947545786,,
1.37109,0.00215207,0.000957699,0.008016443,5.994640795,4.47837537,1.4101391,4.732496277,0.3511537,0,2.329490586,2.093113752,6.133394206,,
1.38658,0.002166779,0.001011612,0.003075093,5.574977152,4.5148769,1.4957039,4.77357711,0.3720452,0,2.531389934,2.247058556,6.191407164,,
1.40157,0.002181802,0.001018109,-0.002694276,5.215595394,4.519275529,1.5813827,4.778429594,0.38352,0,2.747387356,2.39790529,6.060087002,,
1.41714,0.002196597,0.000964872,-0.008522071,4.99972818,4.483231803,1.662169,4.738048009,0.3825183,0,2.979107204,2.543979615,5.778384156,,
1.43241,0.002210622,0.000860876,-0.012614569,4.996041682,4.412821239,1.7339019,4.654751863,0.3703276,0,3.229630171,2.684285094,5.445687687,,
1.44764,0.002223571,0.000751461,-0.012523013,5.189372742,4.338741258,1.7962502,4.559767565,0.3559598,0,3.50425701,2.818813453,5.167830796,,
1.46366,0.002235672,0.00069892,-0.007713685,5.436021375,4.303168248,1.8540232,4.510997098,0.3524394,0,3.811154806,2.948464919,5.168277025,,
1.47959,0.002247619,0.000733224,-0.001079045,5.545456771,4.326393934,1.9144223,4.543091968,0.3666267,0,4.161363917,3.074350165,5.097691157,,
1.49549,0.002260053,0.00082282,0.003174266,5.436340519,4.387054942,1.9819564,4.622643494,0.3927649,0,4.568024172,3.196857735,5.167380667,,
1.51049,0.00227306,0.000901523,0.003341622,5.201517088,4.440340794,2.0556501,4.688047581,0.4175112,0,4.97027267,3.31526406,5.265030696,,
1.52627,0.002286262,0.00092599,0.001488202,5.005324276,4.456906594,2.1310082,4.707622719,0.4316574,0,5.363891828,3.428232733,5.264550044,,
1.54167,0.002299386,0.000905112,0.000811592,4.923047573,4.442770671,2.2043325,4.690940315,0.4365279,0,5.746254718,3.534688248,5.252337541,,
1.55678,0.002312636,0.000876972,0.002183281,4.889810204,4.423718688,2.2750623,4.668055907,0.4396653,0,6.115949562,3.634218354,5.168811548,,
1.57237,0.002326439,0.000866238,0.003657861,4.79634675,4.416451179,2.344627,4.659201174,0.4461756,0,6.471337404,3.726722414,5.062357896,,
1.58785,0.002340852,0.000868574,0.003164736,4.613649058,4.418032694,2.4140847,4.661134109,0.4553222,0,6.810519113,3.811823407,4.948083437,,
1.60316,0.002355337,0.000869592,0.001006132,4.419832283,4.418722262,2.4833299,4.66197585,0.4642155,0,7.085240983,3.888729589,4.814747221,,
1.61884,0.002369122,0.000865305,-0.00072191,4.327911307,4.415819715,2.5519427,4.658428454,0.472005,0,7.220791518,3.956688088,4.65904427,,
1.63446,0.002381686,0.000857958,-0.00072475,4.408224767,4.410845446,2.6196878,4.652322553,0.4791092,0,7.138111981,4.015609754,4.507611991,,
1.6499,0.002392942,0.00084186,0.000362583,4.664163295,4.399946367,2.6858859,4.638824944,0.4843028,0,6.789875991,4.066413605,4.410550171,,
1.66542,0.002403253,0.000809273,0.001494629,5.03477689,4.377882974,2.749263,4.610983574,0.4858739,0,6.200794033,4.110957932,4.41876343,,
1.68119,0.002413516,0.000773494,0.002838174,5.390001384,4.353658869,2.809602,4.579574271,0.4864494,0,5.475516781,4.151603968,4.55985703,,
1.69662,0.002425071,0.000772607,0.005112113,5.550782127,4.353057938,2.8696476,4.578783398,0.4939918,0,4.755034149,4.190432466,4.816209178,,
1.71205,0.002438993,0.000834912,0.007761269,5.386644324,4.395242064,2.934295,4.632947622,0.5147908,0,4.145032922,4.228266985,5.111094608,,
1.72745,0.002455058,0.00093792,0.008724832,4.950571398,4.464984004,3.0066278,4.717045438,0.5447561,0,3.688054214,4.264060396,5.322086379,,
1.74317,0.002471399,0.001011116,0.006369597,4.509048185,4.514540946,3.0842558,4.77320565,0.5694919,0,3.375406948,4.295360486,5.34077153,,
1.75872,0.002485566,0.000990893,0.001448559,4.377696919,4.500849324,3.1599644,4.757963803,0.5753488,0,3.175654462,4.319935559,5.157196048,,
1.77381,0.002496457,0.000879266,-0.003079915,4.669785454,4.425271683,3.2268274,4.669938967,0.5618166,0,3.056330175,4.33753816,4.889535858,,
1.78935,0.002505636,0.000749354,-0.004351485,5.186990013,4.337314417,3.2835735,4.5578538,0.5433313,0,2.99308836,4.35036288,4.709406064,,
1.80463,0.00251677,0.00069005,-0.001954079,5.565386046,4.297162647,3.3356431,4.502536673,0.5383696,0,2.969778526,4.361690044,4.725950782,,
1.82017,0.002533236,0.000737789,0.001744057,5.550856939,4.329484302,3.3911332,4.547290157,0.5552844,0,2.974932145,4.373718401,4.919614332,,
1.83618,0.002555436,0.000850624,0.003358096,5.175089407,4.405879626,3.4548869,4.646193243,0.58634,0,2.998910197,4.386227787,5.15750797,,
1.88335,0.002580057,0.000940286,0.000723188,4.715496874,4.466585637,3.5250781,4.718904524,0.6136583,0,3.033381807,4.396986444,5.280182582,,
1.8987,0.002602161,0.00093545,-0.005631402,4.49548881,4.463311428,3.5945994,4.715100736,0.6220365,0,3.072488782,4.403514755,5.212285217,,
1.91401,0.002618529,0.000832164,-0.012367336,4.669806978,4.393381599,3.656173,4.630614558,0.6097018,0.032348665,3.114032477,4.404947869,5.01677547,,
1.93014,0.002629474,0.000695758,-0.015304382,5.13322178,4.301027168,3.7074529,4.507988657,0.5893834,0.029990071,3.159300085,4.402759238,4.84362055,,
1.94557,0.002637915,0.000610921,-0.012793052,5.613089023,4.243588008,3.7523334,4.423844153,0.578527,0.068889277,3.211273413,4.399928731,4.822069979,,
1.96162,0.002646959,0.000619413,-0.007341166,5.876441822,4.249337516,3.797708,4.432584176,0.5864124,0.125862265,3.272260247,4.399240273,4.985492152,,
1.9765,0.002658131,0.000698346,-0.003226249,5.885799229,4.302779271,3.848717,4.510451185,0.6091676,0.186465821,3.342502406,4.401974986,5.265891743,,
1.99172,0.002671287,0.000793356,-0.002359371,5.780245682,4.367106143,3.9064774,4.597122304,0.6360855,0.25647445,3.420529306,4.407838412,5.547676495,,
2.00646,0.002685616,0.000866927,-0.002983614,5.722517083,4.416918039,3.9693613,4.659772122,0.6594524,0.210371355,3.504614022,4.415893899,5.743075303,,
2.0218,0.002700462,0.000912951,-0.002455654,5.776490521,4.448078419,4.0353173,4.697233283,0.6777718,0.16619628,3.593973617,4.425547057,5.7420174,,
2.03708,0.002715351,0.000933595,-0.000534242,5.921229932,4.462055551,4.1024796,4.713638325,0.6912238,0.326310049,3.688962594,4.436882748,5.849144444,,
2.0532,0.00272967,0.000919091,0.000719512,6.134264239,4.452235451,4.1683133,4.702137438,0.6975046,0.321582855,3.790673529,4.450485636,5.919503848,,
2.06866,0.002742724,0.000861448,-1.55E-05,6.410639329,4.413208307,4.2297565,4.655227154,0.6945864,0.365771538,3.900729956,4.467258945,6.006038754,,
2.08461,0.002754231,0.000782164,-0.001360372,6.708016743,4.359528441,4.2853236,4.58726879,0.6865503,0.358409272,4.021344518,4.48835563,6.146804204,,
2.10009,0.002764655,0.000729314,-0.000873934,6.932709749,4.323746236,4.3369499,4.539481917,0.6832705,0.404300405,4.155089916,4.514910297,6.354312192,,
2.11543,0.002774984,0.000737384,0.001846563,7.022960767,4.32921056,4.3889729,4.546918952,0.6922488,0.424733442,4.304253353,4.547511872,6.602300036,,
2.13117,0.00278612,0.000794201,0.004582887,7.03448048,4.367678122,4.4448153,4.597862444,0.711538,0.473166326,4.470499767,4.585905289,6.833781157,,
2.14625,0.002798383,0.000854031,0.005119674,7.105688801,4.408186785,4.5046465,4.649045195,0.7320272,0.439477707,4.655593085,4.629385035,7.002123269,,
2.16132,0.002811475,0.00088176,0.003666299,7.318141392,4.42696021,4.5661796,4.671982757,0.7463761,0.590346274,4.862951135,4.677628384,7.113810197,,
2.17599,0.002824906,0.000879356,0.002037447,7.603015608,4.425333039,4.6272987,4.670013298,0.7546779,0.65541854,5.098932943,4.7311345,7.223610367,,
2.19132,0.002838501,0.00087081,0.000888484,7.807529124,4.419546676,4.6875819,4.662981358,0.7616664,0.567931013,5.373024471,4.790755965,7.379478336,,
2.2068,0.002852471,0.0008702,-0.001074231,7.854955258,4.419133497,4.747585,4.662477533,0.7702349,0.667524347,5.697331895,4.856772596,7.57312834,,
2.22237,0.002866985,0.000871275,-0.004733509,7.820759671,4.419861687,4.8074255,4.663365325,0.779151,0.64353106,6.086720988,4.928479461,7.74783312,,
2.23819,0.002881744,0.000864089,-0.008422469,7.848483398,4.414996604,4.866539,4.657420407,0.7863439,0.729640587,6.560564656,5.004710601,7.856170602,,
2.2534,0.002896055,0.00085054,-0.009267313,8.015939063,4.40582262,4.9244987,4.646122683,0.7921294,0.763854049,7.145837883,5.084741069,7.856817959,,
2.2689,0.002909312,0.00083894,-0.006419917,8.295452038,4.397968935,4.9814492,4.63635826,0.7981887,0.859959529,7.789251115,5.168734195,7.954859972,,
2.28434,0.002921411,0.000831644,-0.001938122,8.610910727,4.393029536,5.0376917,4.630172507,0.8050354,0.830146499,8.424683615,5.257510632,8.099884162,,
2.29953,0.002932832,0.000827839,0.001615599,8.891809025,4.390452837,5.093468,4.626931758,0.8125414,1.038450453,9.049229572,5.352025538,8.318003891,,
2.31515,0.002944443,0.000835722,0.003568509,9.077645187,4.39579065,5.1495668,4.633634617,0.8224624,0.943741979,9.660585257,5.452910399,8.593856501,,
2.33085,0.002957162,0.000869958,0.004878663,9.116427082,4.418970194,5.2077458,4.66227834,0.8379921,0.942800149,10.25626875,5.560109988,8.875846803,,
2.3461,0.002971523,0.00093092,0.006269992,8.996917993,4.460244595,5.2697601,4.711526212,0.8594718,0.747687984,10.83206899,5.672600785,8.878578544,,
2.36164,0.002987306,0.000991839,0.007308721,8.783208878,4.501489979,5.3355588,4.758681533,0.8815509,0.952141939,11.33304134,5.788388951,9.05462951,,
2.37703,0.003003561,0.001015425,0.007159503,8.589565099,4.517458317,5.4026255,4.776427359,0.8964034,0.869852365,11.5197737,5.904995934,9.063124396,,
2.39303,0.003019156,0.000986307,0.005606059,8.495896869,4.497744577,5.4674758,4.754479145,0.9004318,0.839015426,11.11222694,6.02024696,8.92514759,,
2.4083,0.003033484,0.000924115,0.003019415,8.492612021,4.455636735,5.527972,4.706134177,0.8972287,0.998065759,9.999965418,6.132791787,8.728114366,,
2.42416,0.003046657,0.000862762,-0.000260822,8.528950324,4.414097736,5.5842214,4.656318534,0.893581,1.156398566,8.458781075,6.242000334,8.560222715,,
2.43975,0.003059077,0.000820169,-0.00388667,8.609011602,4.385260139,5.6374907,4.620371599,0.8932574,1.22213919,7.017121798,6.347584388,8.46701393,,
2.45611,0.003070965,0.000792365,-0.006778653,8.799671944,4.366435077,5.6887685,4.596253301,0.8956117,1.030041192,6.019108345,6.449605394,8.46118977,,
2.47167,0.00308244,0.000775366,-0.007038443,9.116737786,4.354926499,5.7387719,4.581240675,0.8999558,1.036443798,5.479952344,6.548898234,8.555881659,,
2.48684,0.003093934,0.000782906,-0.003397539,9.429096905,4.360031356,5.7890899,4.58792553,0.9092791,1.111271793,5.252419998,6.647108943,8.778883554,,
2.50152,0.003106292,0.000832313,0.002873245,9.527108091,4.393482529,5.8424002,4.630741254,0.9274626,1.036098769,5.196098983,6.745718508,9.079707938,,
2.5163,0.003120266,0.000914175,0.008032145,9.30604921,4.448907354,5.900741,4.698212906,0.9529491,1.124776145,5.226229263,6.844599649,9.082879167,,
2.53135,0.003135876,0.000987894,0.008722167,8.866584416,4.498818636,5.9635352,4.755685831,0.9775438,1.187719684,5.299772035,6.941416805,9.29980192,,
2.54688,0.003152272,0.001014125,0.004899291,8.429250791,4.516578624,6.0277198,4.775456847,0.9929098,1.216646684,5.395649434,7.032518196,9.279505832,,
2.56258,0.003168245,0.000986587,-0.000501126,8.167737176,4.497933641,6.0898865,4.754691647,0.9972552,1.189873838,5.503835666,7.114619306,9.012461522,,
2.57763,0.003182911,0.000928388,-0.00458412,8.122595209,4.458529804,6.1481361,4.709522605,0.9948922,1.177111646,5.6204597,7.186034247,8.628596935,,
2.59265,0.003196057,0.000866006,-0.00642464,8.227875902,4.416294478,6.2022536,4.659009469,0.9910709,1.234347136,5.745108735,7.246853442,8.291686015,,
2.60833,0.003208078,0.000816954,-0.006212457,8.368511927,4.383083385,6.2531151,4.617609882,0.9894235,1.268316795,5.878924778,7.298323188,8.106150359,,
2.624,0.003219734,0.000797301,-0.003935328,8.417417562,4.36977706,6.3025784,4.600574158,0.993455,1.408289799,6.023164428,7.341907901,8.086554699,,
2.63987,0.003231887,0.000823373,0.000122715,8.279905612,4.387429398,6.3534841,4.623116894,1.0068841,1.338830051,6.178020352,7.378347984,8.168887839,,
2.65506,0.003245187,0.000894753,0.004261946,7.956670525,4.43575724,6.4086074,4.6825705,1.0300793,1.615182806,6.341824261,7.407047964,8.169293925,,
2.67054,0.003259773,0.000980051,0.006031803,7.563853959,4.493508758,6.4687542,4.749707818,1.056907,1.676569683,6.440097041,7.426218586,8.151542382,,
2.68627,0.003275199,0.001031442,0.004417251,7.259411193,4.528303269,6.5317897,4.788325266,1.0774716,1.716806967,6.532634997,7.433839621,7.979742651,,
2.70177,0.003290678,0.001021061,0.000944088,7.126550772,4.521274602,6.5939162,4.780628192,1.0855884,1.53019276,6.630201183,7.428828131,7.69690536,,
2.71736,0.003305478,0.000963108,-0.001743487,7.122753092,4.482037542,6.6522618,4.736685276,1.0836205,1.690483878,6.732579628,7.411549078,7.403744245,,
