time,q2,dq2,ddq2,q2_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM
0.001,-0.78539,0.000433832,0,5.60E-06,0.334273211,0.000433832,0.341956909,0.000911039,0,0.228611336,-0.000116823,-0.01956579
0.003,-0.785392,-0.000240262,0,0.027706,-0.334348128,0.00019307,-0.341767996,-0.000461196,0,-0.107496264,6.49E-05,-0.000835702
0.006,-0.785394,-0.000133057,0,0.051507,-0.334389619,5.99E-05,-0.341662219,-0.000260072,0,-0.095900344,8.02E-05,0.048292405
0.009,-0.785396,-0.000596236,0,0.0753009,-0.334210356,-0.000536517,-0.342113342,-0.001246048,0,-0.08946535,0.000326455,0.048036567
0.011,-0.785396,-7.94E-05,0,0.0752877,-0.334410386,-0.000615713,-0.341608969,-0.000220302,0,-0.085274667,0.000415914,0.040607154
0.013,-0.785394,0.000335924,0,0.051562,0.334311104,-0.000278797,0.34186169,0.000643985,0,0.267866023,0.000628848,0.005247477
0.015,-0.785396,-0.000407513,0,0.0753323,-0.334283397,-0.000685765,-0.34193138,-0.00088365,0,-0.080109868,0.001202148,0.01068763
0.018,-0.785395,0.000683539,0,0.0277779,0.334176567,2.31E-08,0.342196658,0.001366905,0,0.265272208,0.001361743,0.023772958
0.02,-0.785397,-0.000253017,0,0.0515474,-0.334343191,-0.000252994,-0.341780526,-0.000531628,0,-0.076039962,0.002063536,0.032811099
0.022,-0.785393,0.000258756,0,0.0278708,0.33434097,6.08E-06,0.34178616,0.000517805,0,0.260830932,0.002408459,0.02782256
0.024,-0.785399,-0.000627413,0,0.0753185,-0.334198289,-0.000621355,-0.342143158,-0.001317278,0,-0.07189664,0.003121274,0.038887479
0.027,-0.785397,-0.00034057,0,0.0515904,-0.334309306,-0.000960911,-0.341866224,-0.000777585,0,-0.06931316,0.003584733,0.082731976
0.029,-0.785394,0.00105506,0,0.000151961,0.334032778,9.90E-05,0.342545128,0.00211942,0,0.253531061,0.003770814,0.037706137
0.032,-0.785395,-0.000244201,0,0.0278989,-0.334346603,-0.000145302,-0.341771866,-0.000503803,0,-0.0642741,0.004619346,0.035717226
0.034,-0.785392,0.00109789,0,-0.0235563,0.334016201,0.000953353,0.342584668,0.002290204,0,0.247718213,0.00474233,0.021748608
0.036,-0.785394,-6.89E-05,0,0.000222108,-0.33441445,0.000884138,-0.341598525,-5.03E-05,0,-0.059472057,0.005445848,0.043465235
0.039,-0.785397,-0.00122683,0,0.0517102,-0.333966298,-0.000347898,-0.342702911,-0.002489163,0,-0.056927209,0.00609801,0.080772791
0.041,-0.78539,0.00158919,0,-0.0472375,0.333826054,0.001243944,0.343028861,0.003302238,0,0.238708315,0.005716752,0.007061319
