time,q2,dq2,ddq2,q2_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM
0,-0.785354,0.00121051,0,-0.071264,0.333972614,0.00121051,0.342688011,0.002542048,0,0.223374302,-0.004322672,0.049671814
0.003,-0.785357,-0.000445613,0,-0.0237524,-0.334268651,0.000762307,-0.34196832,-0.000814902,0,-0.086816876,0.000886283,0.073739996
0.005,-0.785359,-0.00155915,0,0.0515581,-0.333837681,-0.000802546,-0.343002196,-0.003198096,0,-0.07386541,0.003970194,-0.129114324
0.007,-0.78536,-0.000538284,0,0.0277711,-0.334232785,-0.00133876,-0.342057737,-0.001209724,0,-0.06683371,2.60E-05,-0.195111595
0.009,-0.78536,-0.00620645,0,0.0278015,-0.332039045,-0.007505413,-0.346364272,-0.013164041,0,-0.062691198,0.020293399,-0.211429257
0.013,-0.785362,-0.00213756,0,0.0515709,-0.33361382,-0.009566576,-0.343504323,-0.005237333,0,-0.05988705,0.005871959,-0.18285012
0.015,-0.785364,-0.00155799,0,0.0753675,-0.33383813,-0.011053728,-0.343001165,-0.004233868,0,-0.057587239,0.004384196,-0.112602283
0.017,-0.78536,0.000288003,0,0.027896,0.33432965,-0.010750303,0.341814836,-0.000516492,0,0.267847239,-0.000934109,-0.067300904
0.019,-0.785361,0.00488686,0,0.0517333,0.332549763,-0.005609006,0.345565415,0.009186143,0,0.265986224,-0.015906471,0.108693836
0.022,-0.785362,0.00256697,0,0.0517497,0.333447626,-0.002972632,0.343861677,0.0047924,0,0.263387534,-0.005608676,0.146167314
0.024,-0.78536,0.00192065,0,0.0280285,0.33369777,-0.001024528,0.343318815,0.00368944,0,0.260338426,-0.000891667,0.131930765
0.026,-0.78536,0.00116465,0,0.0280691,0.333990363,0.000145849,0.342646038,0.002292548,0,0.256877429,0.00426812,0.135610614
0.029,-0.785361,0.000543861,0,0.0281237,0.334230626,0.00068933,0.342063098,0.001104908,0,0.253129432,0.008931948,0.113978592
0.031,-0.785358,0.000921092,0,0.00044307,0.334084627,0.001607379,0.342420608,0.001951362,0,0.249169639,0.009966386,0.093630703
0.033,-0.785362,0.000178644,0,0.0281304,0.334371975,0.001784648,0.341707299,0.000484328,0,0.244915458,0.014632745,0.073180093
0.036,-0.785357,0.00112502,0,-0.0232242,0.334005701,0.002900055,0.342609646,0.00248916,0,0.240579263,0.013176925,0.054688693
0.038,-0.785357,0.000906122,0,-0.0231815,0.334090421,0.00379361,0.342406614,0.002141699,0,0.235925431,0.015270265,0.034576094
0.041,-0.785355,0.000703934,0,-0.0468561,0.334168673,0.004484783,0.342216043,0.001807608,0,0.23105169,0.016728838,0.016324912
0.043,-0.785357,0.000128198,0,-0.0230687,0.3343915,0.004610235,0.341657405,0.000669482,0,0.225907096,0.018737478,-0.001401057
0.045,-0.785357,-0.000128097,0,-0.0230193,-0.334391539,0.004479294,-0.341657305,0.000144067,0,-0.034061853,0.019129471,0.138399833
0.047,-0.785358,-0.000427842,0,0.000765402,-0.334275529,0.004042224,-0.341951103,-0.000498599,0,-0.031182587,0.01924574,0.042785457
0.05,-0.785357,0.000244619,0,-0.0229334,0.334346441,0.004282119,0.341772277,0.000870993,0,0.213108504,0.015753921,-0.137240335
0.052,-0.78536,-0.00128324,0,0.0285528,-0.333944466,0.002972423,-0.342754269,-0.002314345,0,-0.025574753,0.019785629,0.08541507
0.054,-0.785358,-0.000322817,0,0.000884893,-0.334316176,0.002644992,-0.341848892,-0.000424625,0,-0.022658871,0.015134913,0.036001674
0.056,-0.785358,-0.000329056,0,0.000917229,-0.334313762,0.002311752,-0.341854985,-0.000470004,0,-0.019838547,0.013878543,0.004105544
0.059,-0.785355,0.000583063,0,-0.0465549,0.334215454,0.002888365,0.342100724,0.001412383,0,0.200083419,0.009307466,-0.124087576
0.061,-0.785355,7.35E-05,0,-0.0465152,0.334412653,0.00296089,0.341603142,0.000400965,0,0.196558957,0.009331988,-0.043508307
0.063,-0.785353,1.75E-06,0,-0.0702434,0.334440437,0.002962619,0.341531548,0.000257619,0,0.19251687,0.007364573,-0.021004889
0.066,-0.785347,0.000598579,0,-0.121566,0.334209449,0.003552717,0.342115585,0.001510628,0,0.18805037,0.002399194,-0.031725623
