time,q7,dq7,ddq7,q7_tau_J_compensate,CV,Dahl,Stribeck,LuGre,SVM,Light_Transformer,PINN,NNFM
0,0.78514,0.000707956,0,-0.00732422,0.15263704,0.000315566,0.05741119,0.000778752,0,0.224070834,-0.000217737,-0.055113124
0.004,0.785143,0.00184053,0,-0.032959,0.154946828,0.001134534,0.096690569,0.002093488,0,0.257420229,-0.000596373,-0.014567808
0.01,0.785144,0.00285488,0,-0.131836,0.157015509,0.002399087,0.12198089,0.003385872,0,0.270354398,-0.001073599,-0.031038587
0.014,0.785143,0.00934629,0,-0.0924681,0.170254188,0.006509915,0.211952101,0.010794432,0,0.273701739,-0.003776238,-0.01992369
0.018,0.785145,0.00745173,0,-0.138245,0.166390394,0.009712705,0.193034735,0.00959966,0,0.27260197,-0.00420661,-0.037096719
0.022,0.785143,-0.00184422,0,-0.164795,-0.154954354,0.00884581,-0.09679491,0.000122762,0,-0.004284531,-0.002829197,0.071822029
0.028,0.78514,-0.00175734,0,-0.144653,-0.154777169,0.008023614,-0.094308656,3.56E-05,0,-0.002810919,-0.004877201,-0.021086636
0.032,0.785144,-0.000424194,0,-0.177612,-0.152058331,0.007826031,-0.043608031,0.001360995,0,-0.001793342,-0.00769785,-0.006773203
0.042,0.785142,-0.00105109,0,-0.158386,-0.153336832,0.007336973,-0.071259855,0.000610892,0,-0.001396692,-0.010392475,-0.06548924
0.046,0.785148,0.000872683,0,-0.210571,0.152972987,0.007710307,0.064356794,0.002625455,0,0.259895483,-0.01420487,-0.149152424
0.052,0.785148,0.00112356,0,-0.223388,0.153484629,0.008189952,0.073911179,0.002978881,0,0.25661692,-0.018006141,-0.105153777
0.056,0.785146,-0.000298437,0,-0.204162,-0.151801861,0.00805082,-0.036341484,0.001546143,0,-0.000999476,-0.021781211,-0.04575443
0.062,0.785147,0.00147872,0,-0.249938,0.154208948,0.008680865,0.085880242,0.00343812,0,0.248879657,-0.026878161,-0.19088515
0.066,0.785147,0.00123208,0,-0.243529,0.153705946,0.00920395,0.077737906,0.00331428,0,0.244254989,-0.031826263,-0.123763523
0.07,0.785147,0.00127009,0,-0.249938,0.153783464,0.009741572,0.079040585,0.003472459,0,0.238701446,-0.0372355,-0.192059395
0.076,0.785142,-0.00515183,0,-0.204161,-0.161699943,0.007319522,-0.163496643,-0.003527467,0,0.002588304,-0.040993405,-0.059398402
0.08,0.785141,-0.00373792,0,-0.190428,-0.158816394,0.005585094,-0.139918065,-0.002466303,0,0.004125233,-0.047247938,-0.159671379
0.084,0.785142,-0.00187051,0,-0.21057,-0.15500797,0.004725319,-0.097535158,-0.000758169,0,0.005336084,-0.053629324,-0.129422534
0.09,0.785143,-0.000903052,0,-0.216978,-0.153034922,0.004312179,-0.065573226,0.000135434,0,0.005966657,-0.05977619,-0.179897971
