Case,Speed,Joint,Model,RMS,MEA,IN,FileName
case1,high,6,CV,0.680410483648588,0.571673363725523,1.28565233733498,case1_high.csv
case1,high,6,Dahl,0.355963974099645,0.332771517791891,0.670121180095828,case1_high.csv
case1,high,6,Stribeck,0.422259023555449,0.362726144155896,1.02847068614023,case1_high.csv
case1,high,6,LuGre,0.37988350690632,0.342755960316406,0.850633988820511,case1_high.csv
case1,high,6,SVM,0.251745362181129,0.236175883045873,0.453862045992011,case1_high.csv
case1,high,6,Light_Transformer,0.116150325386707,0.0809397342988871,0.357944340295891,case1_high.csv
case1,high,6,PINN,0.0923103004325447,0.0744357927279634,0.20331013324906,case1_high.csv
case1,high,6,NNFM,0.00928167281060592,0.00428542022979963,0.186948849536026,case1_high.csv
case1,middle,6,CV,0.560696048860258,0.458310034175327,1.05685224214529,case1_middle.csv
case1,middle,6,Dahl,0.392221007095336,0.372632688024067,0.712217629256059,case1_middle.csv
case1,middle,6,Stribeck,0.451924892944708,0.397841943993819,1.05729143357805,case1_middle.csv
case1,middle,6,LuGre,0.416623839117604,0.379499816561383,0.868379061424827,case1_middle.csv
case1,middle,6,SVM,0.253853220059966,0.236314039083406,0.462762409620055,case1_middle.csv
case1,middle,6,Light_Transformer,0.110566276591477,0.0801260586110934,0.331825839462559,case1_middle.csv
case1,middle,6,PINN,0.119737059353572,0.101720602530439,0.208447804094944,case1_middle.csv
case1,middle,6,NNFM,0.00796428070217572,0.00504401064775603,0.0298428261944146,case1_middle.csv
case1,slow,6,CV,0.488734644835185,0.425851316082546,1.13784170659283,case1_slow.csv
case1,slow,6,Dahl,0.410970277416222,0.400103142202446,0.716368915628057,case1_slow.csv
case1,slow,6,Stribeck,0.48867837470818,0.427676069263488,1.15696748110925,case1_slow.csv
case1,slow,6,LuGre,0.439363006851977,0.401965809977648,1.16016596734488,case1_slow.csv
case1,slow,6,SVM,0.286210944905045,0.269847401464525,0.469368070918008,case1_slow.csv
case1,slow,6,Light_Transformer,0.125624666544095,0.0945819321684257,0.31502258819775,case1_slow.csv
case1,slow,6,PINN,0.102811122337573,0.0804538515589949,0.199702071454762,case1_slow.csv
case1,slow,6,NNFM,0.00713070222732497,0.00485431747168116,0.0742925130617415,case1_slow.csv
case2,high,4,CV,1.14694814317579,0.93889634598881,1.94773906272622,case2_high.csv
case2,high,4,Dahl,1.12457820693611,0.9363490344161,1.88693693793923,case2_high.csv
case2,high,4,Stribeck,1.0874202898893,0.936866959064259,1.78528677566124,case2_high.csv
case2,high,4,LuGre,1.11389777115788,0.934673014497467,1.85611526492947,case2_high.csv
case2,high,4,SVM,0.0922034444697056,0.0791802126920021,0.279718516344453,case2_high.csv
case2,high,4,Light_Transformer,0.0683890573356128,0.0552623778258549,0.200343370099796,case2_high.csv
case2,high,4,PINN,0.314723188350717,0.261779927223174,0.639517631638114,case2_high.csv
case2,high,4,NNFM,0.024891687920963,0.0216313501130673,0.103309251079,case2_high.csv
case2,middle,4,CV,0.891936445450738,0.883093416490279,1.12455823101403,case2_middle.csv
case2,middle,4,Dahl,0.887583953233593,0.882307524228662,1.10470420486431,case2_middle.csv
case2,middle,4,Stribeck,0.886483365037023,0.881290120790826,1.0733555801554,case2_middle.csv
case2,middle,4,LuGre,0.892563968131572,0.882315585991961,1.23361825430783,case2_middle.csv
case2,middle,4,SVM,0.0872952125150011,0.064275147078335,0.400942946077306,case2_middle.csv
case2,middle,4,Light_Transformer,0.0167007795013764,0.00995490527422872,0.228261722951731,case2_middle.csv
case2,middle,4,PINN,0.175281386668208,0.147943166061148,0.413336687795652,case2_middle.csv
case2,middle,4,NNFM,0.0191669917606799,0.00933883972283131,0.414329084746604,case2_middle.csv
case2,slow,4,CV,0.78803120638096,0.76731423471273,1.26455527040974,case2_slow.csv
case2,slow,4,Dahl,0.770689029540215,0.764504433538115,1.04124862752493,case2_slow.csv
case2,slow,4,Stribeck,0.785393003697598,0.764589687180348,1.30352082313993,case2_slow.csv
case2,slow,4,LuGre,0.776383137068539,0.761544216559523,1.14740331259815,case2_slow.csv
case2,slow,4,SVM,0.104600274288936,0.0752019987964005,0.311134460343185,case2_slow.csv
case2,slow,4,Light_Transformer,0.0458765719048907,0.0313242991109272,0.341622711621006,case2_slow.csv
case2,slow,4,PINN,0.154902047229689,0.125216091407323,0.278394009595027,case2_slow.csv
case2,slow,4,NNFM,0.00808757974271338,0.0049196024989639,0.0477886438806654,case2_slow.csv
case3,high,2,CV,0.325536942988846,0.265858197234538,0.70875519422517,case3_high.csv
case3,high,2,Dahl,0.35077750585487,0.314528794968384,0.640265347219212,case3_high.csv
case3,high,2,Stribeck,0.353253235461042,0.290088332310708,0.793649686565101,case3_high.csv
case3,high,2,LuGre,Inf,9.72795636651179e+171,8.23878320085033e+173,case3_high.csv
case3,high,2,SVM,0.15532225403313,0.121917300191721,0.406936305347453,case3_high.csv
case3,high,2,Light_Transformer,0.0900441743806341,0.0737878058725924,0.21627886026777,case3_high.csv
case3,high,2,PINN,0.112642558935414,0.0836125015327692,0.28840177545381,case3_high.csv
case3,high,2,NNFM,0.0112913526409685,0.00860188343417013,0.0376173796978939,case3_high.csv
case3,middle,2,CV,0.356948399980044,0.312816213472853,0.619079364530944,case3_middle.csv
case3,middle,2,Dahl,0.365888324642202,0.306007392643807,0.663517887488025,case3_middle.csv
case3,middle,2,Stribeck,0.349901705205121,0.309948583065384,0.565903184485911,case3_middle.csv
case3,middle,2,LuGre,0.356304457444929,0.312671422698026,0.631484191653912,case3_middle.csv
case3,middle,2,SVM,0.179471207421368,0.146665096127722,0.410664627223035,case3_middle.csv
case3,middle,2,Light_Transformer,0.107667610986547,0.0796894583655747,0.346582214969986,case3_middle.csv
case3,middle,2,PINN,0.063094459963772,0.0555877551386471,0.146134947906914,case3_middle.csv
case3,middle,2,NNFM,0.00940772286618894,0.00484842359511537,0.159341635813755,case3_middle.csv
case3,slow,2,CV,0.205690651958975,0.17282764304605,0.451081182575301,case3_slow.csv
case3,slow,2,Dahl,0.214882634095085,0.184217139600906,0.435324663698948,case3_slow.csv
case3,slow,2,Stribeck,0.198936083029324,0.165796492036978,0.433578531601774,case3_slow.csv
case3,slow,2,LuGre,0.265394003451083,0.206155131644636,0.787809607257522,case3_slow.csv
case3,slow,2,SVM,0.182034534119027,0.156623771819307,0.380096297418874,case3_slow.csv
case3,slow,2,Light_Transformer,0.0929107596235143,0.0608391172530123,0.43897790819401,case3_slow.csv
case3,slow,2,PINN,0.0840352564590761,0.076061367975835,0.146921585536989,case3_slow.csv
case3,slow,2,NNFM,0.00646676358792824,0.00329811470476911,0.0877064149233944,case3_slow.csv
case4,high,7,CV,0.294612955027447,0.250266770504658,0.700842759940691,case4_high.csv
case4,high,7,Dahl,0.240050316254618,0.224062558281258,0.392318413158366,case4_high.csv
case4,high,7,Stribeck,0.290406554546728,0.248602550350484,0.692375052831794,case4_high.csv
case4,high,7,LuGre,0.264243727686275,0.233073438544558,0.770556491345979,case4_high.csv
case4,high,7,SVM,0.323251721375671,0.305115209281231,0.464715876230336,case4_high.csv
case4,high,7,Light_Transformer,0.133004112099914,0.0946680925929747,0.539085215995265,case4_high.csv
case4,high,7,PINN,0.0652171788500441,0.0526051449046907,0.124091549455282,case4_high.csv
case4,high,7,NNFM,0.00612663680897354,0.00420142356581972,0.0403975844987313,case4_high.csv
case4,middle,7,CV,0.309339532900823,0.251072508511562,0.597353905038937,case4_middle.csv
case4,middle,7,Dahl,0.254133302595941,0.223268967244943,0.469973452049289,case4_middle.csv
case4,middle,7,Stribeck,0.269644866731491,0.231866432050293,0.591305282531907,case4_middle.csv
case4,middle,7,LuGre,0.247755518207218,0.222781616261831,0.648425983288345,case4_middle.csv
case4,middle,7,SVM,0.260965687412682,0.239713213033258,0.466838375283918,case4_middle.csv
case4,middle,7,Light_Transformer,0.110001386590165,0.084631589457039,0.388508474212546,case4_middle.csv
case4,middle,7,PINN,0.0599240338869247,0.0466891922768637,0.113957421567341,case4_middle.csv
case4,middle,7,NNFM,0.00992466543414386,0.00582254086580327,0.0638377330277527,case4_middle.csv
case4,slow,7,CV,0.49156825218968,0.410492397810958,0.980800826316792,case4_slow.csv
case4,slow,7,Dahl,0.257642786629667,0.211516830996297,0.435088759703687,case4_slow.csv
case4,slow,7,Stribeck,0.254989373000155,0.217407809839424,0.456061790736449,case4_slow.csv
case4,slow,7,LuGre,0.249835513033539,0.215097416154812,0.470432453146295,case4_slow.csv
case4,slow,7,SVM,0.246016080003085,0.205335769897445,0.469673938987997,case4_slow.csv
case4,slow,7,Light_Transformer,0.0692818870047225,0.0545514802687038,0.238757470291051,case4_slow.csv
case4,slow,7,PINN,0.0525005842479169,0.042207404692875,0.106511312547766,case4_slow.csv
case4,slow,7,NNFM,0.0102805865926244,0.00662220941389249,0.035973027238972,case4_slow.csv
